id,entidad_federativa,poblacion_total,area_km2,densidad_poblacion
MX-AGU,Aguascalientes,608358,5589,108.85
MX-BCN,Baja California,1563460,70113,22.30
MX-BCS,Baja California Sur,311593,73677,4.23
MX-CAM,Campeche,414720,51833,8.00
MX-COA,Coahuila de Zaragoza,1384194,151571,9.13
MX-COL,Colima,327765,5455,60.09
MX-CHP,Chiapas,2443773,73887,33.07
MX-CHH,Chihuahua,1713920,247087,6.94
MX-CMX,Ciudad de México,4617297,1499,3080.25
MX-DUR,Durango,829044,73677,11.25
MX-GUA,Guanajuato,2846947,30589,93.07
MX-GRO,Guerrero,1743207,63794,27.33
MX-HID,Hidalgo,1379796,20987,65.75
MX-JAL,Jalisco,3750041,80137,46.80
MX-MEX,México,7778876,21461,362.47
MX-MIC,Michoacán de Ocampo,2248928,59864,37.57
MX-MOR,Morelos,918639,4941,185.92
MX-NAY,Nayarit,543972,27621,19.69
MX-NLE,Nuevo León,2333273,64555,36.14
MX-OAX,Oaxaca,1982954,95364,20.79
MX-PUE,Puebla,3009974,33919,88.74
MX-QUE,Querétaro,940749,11769,79.93
MX-ROO,Quintana Roo,652358,50350,12.96
MX-SLP,San Luis Potosí,1325152,62848,21.09
MX-SIN,Sinaloa,1391560,58092,23.95
MX-SON,Sonora,1322868,184934,7.15
MX-TAB,Tabasco,1137845,24661,46.14
MX-TAM,Tamaulipas,1652353,79829,20.70
MX-TLA,Tlaxcala,604161,3914,154.36
MX-VER,Veracruz de Ignacio de la Llave,3947515,72815,54.21
MX-YUC,Yucatán,992244,39340,25.22
MX-ZAC,Zacatecas,763771,75040,10.18
